#ID	T_NUM1	P_NUM1	T_NUM2	P_NUM2	LAT	LON	ErrZ
1	1	46	3	1996	37.63947	-0.692695	0.576
2	1	51	3	2116	37.639469	-0.692692	0.48
3	1	96	3	1891	37.639471	-0.692682	0.48
4	1	96	3	1896	37.639471	-0.692682	0.512
5	1	236	2	1066	37.639477	-0.69265	0.439
6	1	241	2	1081	37.639478	-0.692648	0.384
7	1	241	3	1096	37.639478	-0.692648	0.384
8	1	266	3	1516	37.639478	-0.692639	0.461
9	1	301	3	2956	37.639477	-0.692628	0.512
10	1	331	3	2991	37.639476	-0.692619	0.307
11	1	421	5	736	37.639475	-0.692584	0.634
12	1	436	3	3281	37.639474	-0.692581	0.288
13	1	441	3	3281	37.639474	-0.69258	0.576
14	1	1021	5	736	37.63948	-0.692582	0.384
15	1	1056	3	3166	37.639486	-0.692593	0.512
16	1	1061	3	3151	37.63949	-0.692595	0.192
17	1	1106	2	641	37.639492	-0.692608	0.137
18	1	1106	2	646	37.639492	-0.692608	0.288
19	1	1106	2	651	37.639492	-0.692608	0.384
20	1	1216	4	211	37.639493	-0.692623	0.256
21	1	1216	4	216	37.639493	-0.692623	0.256
22	1	1216	4	221	37.639492	-0.692623	0.224
23	1	1221	4	231	37.63949	-0.692621	0.269
24	1	1226	3	2561	37.639486	-0.692619	0.384
25	1	1226	3	2566	37.639486	-0.692619	0.384
26	1	1226	5	411	37.639487	-0.692619	0.213
27	1	1226	5	886	37.639487	-0.692619	0.384
28	1	1236	2	741	37.639485	-0.692616	0.432
29	1	1241	2	721	37.639482	-0.692615	0.192
30	1	1241	3	3576	37.639482	-0.692615	0.128
31	1	1241	5	861	37.639483	-0.692615	0.256
32	1	1251	3	2566	37.639484	-0.692619	0.544
33	1	1251	5	866	37.639483	-0.692618	0.48
34	1	1251	5	876	37.639484	-0.692619	0.432
35	1	1256	2	756	37.639487	-0.692621	0.672
36	1	1256	5	891	37.639487	-0.692621	0.672
37	1	1356	2	781	37.639487	-0.692624	0.192
38	1	1356	5	896	37.639487	-0.692624	0.32
